nomeDoProduto,preco,marca,memoriaRam,processador,tipoDeGabinete,imagem,promocao
AWD-IT Infinity White (AWD-5500-3060-IFW),£749.99,AWD-IT,16 GB,AMD Ryzen 5,Tower,-,-
Acer Nitro N50-650 (DG.E3GEK.00W),£899.00,Acer,16 GB,Intel Core i5,Tower,-,-
"Apple iMac (2023) M3 8C CPU 8C GPU 8GB 256GB SSD 24""","£1,290.95",Apple,8 GB,Apple M3,All-in-one,-,-
Acer Predator Orion 3000 PO3-650,£999.00,Acer,16 GB,-,Tower,-,9.10 %
Apple Mac Mini (2023) M2 8C CPU 10C GPU 8GB 256GB,£584.98,Apple,8 GB,Apple M2,Compact,"https://www.pricerunner.com/product/40x40/3013189639/Apple-Mac-Mini-%282023%29-M2-8C-CPU-10C-GPU-8GB-256GB.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3013189639/Apple-Mac-Mini-%282023%29-M2-8C-CPU-10C-GPU-8GB-256GB.jpg?ph=true&fmt=avif 2x",1.85 %
"Apple iMac (2021) - M1 OC 8C GPU 8GB 512GB 24""","£1,007.97",Apple,8 GB,Apple M1,All-in-one,"https://www.pricerunner.com/product/40x40/3063025912/Apple-iMac-%282021%29-M1-OC-8C-GPU-8GB-512GB-24.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3063025912/Apple-iMac-%282021%29-M1-OC-8C-GPU-8GB-512GB-24.jpg?ph=true&fmt=avif 2x",-
"Apple iMac (2023) M3 8C CPU 10C GPU 8GB 512GB SSD 24""","£1,654.00",Apple,8 GB,Apple M3,All-in-one,-,-
ASUS ROG Strix GT15 G15CF-51240F193W,£914.99,ASUS,8 GB,Intel Core i5,Tower,-,23.69 %
ASUS ROG Strix GT15 G15CF-51240F210W i5-12400F Tower,£899.98,ASUS,16 GB,-,Tower,-,2.39 %
"Apple iMac (2021) - M1 OC 8C GPU 8GB 256GB 24""","£1,458.18",Apple,8 GB,Apple M1,All-in-one,-,-
"Apple iMac (2023) M3 8C CPU 10C GPU 8GB 256GB SSD 24""","£1,299.00",Apple,8 GB,Apple M3,All-in-one,"https://www.pricerunner.com/product/40x40/3062970382/Apple-iMac-%282023%29-M3-8C-CPU-10C-GPU-8GB-256GB-SSD-24.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3062970382/Apple-iMac-%282023%29-M3-8C-CPU-10C-GPU-8GB-256GB-SSD-24.jpg?ph=true&fmt=avif 2x",-
HP AIO 22-dd2010na,£329.99,HP,4 GB,Intel Pentium Silver,All-in-one,"https://www.pricerunner.com/product/40x40/3012765539/HP-AIO-22-dd2010na.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3012765539/HP-AIO-22-dd2010na.jpg?ph=true&fmt=avif 2x",-
Stormforce Onyx Pc Gaming Bundle Amd,£699.00,Stormforce,-,-,-,-,-
MSI MAG Codex 6 13NUC5-018UK Tower NVIDIA,£849.00,MSI,16 GB,Intel Core i5,Tower,-,-
Intel NUC 12 Pro Mini PC NUC12WSKi7,£521.49,Intel,-,Intel Core i7,Barebone,-,-
Apple Mac Mini (2023) M2 Pro 10C CPU 16C GPU 16GB 512GB,"£1,234.99",Apple,16 GB,Apple M2 Pro,Compact,-,0.40 %
"Lenovo Legion Tower 5i Gen 8 i7, RTX 3060","£1,199.00",Lenovo,16 GB,-,Tower,"https://www.pricerunner.com/product/40x40/3012640305/Lenovo-Legion-Tower-5i-Gen-8-i7-RTX-3060.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3012640305/Lenovo-Legion-Tower-5i-Gen-8-i7-RTX-3060.jpg?ph=true&fmt=avif 2x",29.43 %
ASUS Vivo A3202 AiO,£352.99,ASUS,8 GB,-,All-in-one,"https://www.pricerunner.com/product/40x40/3073852380/ASUS-Vivo-A3202-AiO.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3073852380/ASUS-Vivo-A3202-AiO.jpg?ph=true&fmt=avif 2x",-
Apple Mac Studio 2023 M2 Max 32GB 512GB,"£1,748.15",Apple,-,Apple M2 Max,-,-,-
Acer Nitro 50 N50-650 (DG.E3GEK.005),£799.00,Acer,16 GB,Intel Core i5,Tower,-,-
Acer Predator Orion 3000 PO3-650,"£1,799.99",Acer,16 GB,Intel Core i7,-,-,-
Acer Aspire TC-1780 Tower 512GB,£499.99,Acer,-,Intel Core i5,Tower,-,-
Lenovo Legion T5 26ARA8 90UY002VUK,"£1,900.00",Lenovo,16 GB,AMD Ryzen 7,Tower,"https://www.pricerunner.com/product/40x40/3042775047/Lenovo-Legion-T5-26ARA8-90UY002VUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3042775047/Lenovo-Legion-T5-26ARA8-90UY002VUK.jpg?ph=true&fmt=avif 2x",-
3XS Core 4060Ti RGB Gaming,£969.00,3XS,16 GB,AMD Ryzen 5,Tower,"https://www.pricerunner.com/product/40x40/3014710785/3XS-Core-4060Ti-RGB-Gaming.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3014710785/3XS-Core-4060Ti-RGB-Gaming.jpg?ph=true&fmt=avif 2x",-
MSI MAG Codex 6 13NUC7-017UK Core i7,£849.00,MSI,16 GB,Intel Core i7,Tower,-,-
Apple Mac Mini (2023) M2 8C CPU 10C GPU 8GB 512GB,£754.99,Apple,8 GB,Apple M2,Compact,-,0.66 %
Stormforce Onyx Gaming Pc - Amd Ryzen 5 16Gb,£499.99,Stormforce,-,AMD Ryzen 7,-,-,-
Lenovo Ideacentre Aio 3 All-In One,£599.00,Lenovo,-,-,All-in-one,-,-
"Apple iMac (2021) - M1 OC 7C GPU 8GB 256GB 24""","£1,186.46",Apple,8 GB,Apple M1,All-in-one,"https://www.pricerunner.com/product/40x40/3010783361/Apple-iMac-%282021%29-M1-OC-7C-GPU-8GB-256GB-24.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3010783361/Apple-iMac-%282021%29-M1-OC-7C-GPU-8GB-256GB-24.jpg?ph=true&fmt=avif 2x",-
CyberPower Eurus Gaming Pc Bundle,£649.00,CyberPower,-,-,-,"https://www.pricerunner.com/product/40x40/3007321667/CyberPower-Eurus-Gaming-Pc-Bundle.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3007321667/CyberPower-Eurus-Gaming-Pc-Bundle.jpg?ph=true&fmt=avif 2x",-
Dell Alienware Aurora R14 Gaming Desktop,"£3,299.00",Dell,16 GB,-,Tower,-,-
Acer Predator Orion 3000,£189.74,Acer,16 GB,Intel Core i7,-,-,-
LG 27CN650N-6A All-in-One PC/workstation IntelÃÂ®,£180.85,LG,-,-,All-in-one,-,-
HP Slim S01-pF2003na,£329.99,HP,8 GB,Intel Core i3,Tower,-,-
Lenovo ThinkStation P3 Tower 30GS001VUK Core i5-13600 512GB,£719.99,Lenovo,32 GB,-,Tower,"https://www.pricerunner.com/product/40x40/3013636830/Lenovo-ThinkStation-P3-Tower-30GS001VUK-Core-i5-13600-512GB.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3013636830/Lenovo-ThinkStation-P3-Tower-30GS001VUK-Core-i5-13600-512GB.jpg?ph=true&fmt=avif 2x",1.37 %
Dell OptiPlex 24 AIO Plus Core i7-13700,"£1,112.69",Dell,16 GB,-,-,"https://www.pricerunner.com/product/40x40/3010357138/Dell-OptiPlex-24-AIO-Plus-Core-i7-13700.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3010357138/Dell-OptiPlex-24-AIO-Plus-Core-i7-13700.jpg?ph=true&fmt=avif 2x",0.74 %
ASUS Zen AiO A5200WFAK-BA109T,£635.64,ASUS,8 GB,Intel Core i3,All-in-one,-,-
Lenovo IdeaCentre Gaming 5 17IAB7 i5-12400F Tower Core...,£549.00,Lenovo,16 GB,Intel Core i5,Tower,-,-
Acer Predator Orion 3000 PO3-650 Intel Core,£999.99,Acer,16 GB,-,Tower,-,-
Lenovo IdeaCentre AIO 3 24ALC6,£399.99,Lenovo,-,-,All-in-one,-,-
Medion Erazer Engineer X31,£819.98,Medion,16 GB,Intel Core i7,Tower,"https://www.pricerunner.com/product/40x40/3005418631/Medion-Erazer-Engineer-X31.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3005418631/Medion-Erazer-Engineer-X31.jpg?ph=true&fmt=avif 2x",3.53 %
Lenovo ThinkCentre M90a Gen 3 11VF002TUK,£805.99,Lenovo,8 GB,Intel Core i5,All-in-one,"https://www.pricerunner.com/product/40x40/3006670245/Lenovo-ThinkCentre-M90a-Gen-3-11VF002TUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006670245/Lenovo-ThinkCentre-M90a-Gen-3-11VF002TUK.jpg?ph=true&fmt=avif 2x",5.18 %
HP All-in-one 27-cb1001ng,£726.43,HP,16 GB,AMD Ryzen 5,All-in-one,-,-
Acer Nitro N50-640 (DG.E2VEK.006),£999.00,Acer,16 GB,Intel Core i7,Tower,-,-
Stormforce Crystal Ryzen 5 32GB 1TB RTX4070Ti,"£2,049.00",Stormforce,32 GB,-,Tower,-,-
-,£999.00,MSI,16 GB,Intel Core i5,Tower,-,-
Lenovo 11sx000puk Thinkcentre Neo 50s I3-12100,£359.99,Lenovo,-,-,-,"https://www.pricerunner.com/product/40x40/3007529538/Lenovo-11sx000puk-Thinkcentre-Neo-50s-I3-12100.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3007529538/Lenovo-11sx000puk-Thinkcentre-Neo-50s-I3-12100.jpg?ph=true&fmt=avif 2x",-
Dell OptiPlex 7010 i5-13500T MFF,£376.64,Dell,8 GB,Intel Core i5,Compact,"https://www.pricerunner.com/product/40x40/3011673073/Dell-OptiPlex-7010-i5-13500T-MFF.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3011673073/Dell-OptiPlex-7010-i5-13500T-MFF.jpg?ph=true&fmt=avif 2x",18.83 %
Intel NUC 12 Pro NUC12WSHi7,£307.99,Intel,-,Intel Core i7,Barebone,-,32.50 %
Lenovo ThinkCentre neo 70t 11YU000HUK,£479.99,Lenovo,16 GB,Intel Core i9,Tower,-,4.00 %
HP Pro 290 G9 6B2S2EA,£498.00,HP,8 GB,Intel Core i5,Compact,-,1.19 %
HP Z2 G9 Workstation 865L4ET,£869.68,HP,16 GB,Intel Core i7,Compact,-,7.67 %
Acer Predator Orion 3000 PO3-650 (DG.BK4EK.015),"£1,899.00",Acer,16 GB,Intel Core i7,Tower,"https://www.pricerunner.com/product/40x40/3040072811/Acer-Predator-Orion-3000-PO3-650-%28DG.BK4EK.015%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3040072811/Acer-Predator-Orion-3000-PO3-650-%28DG.BK4EK.015%29.jpg?ph=true&fmt=avif 2x",-
Acer C24-1851 23.8in i7 8GB 1TB,£699.99,Acer,-,-,All-in-one,"https://www.pricerunner.com/product/40x40/3013123002/Acer-C24-1851-23.8in-i7-8GB-1TB.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3013123002/Acer-C24-1851-23.8in-i7-8GB-1TB.jpg?ph=true&fmt=avif 2x",13.90 %
Asrock DeskMini X300 90BXG3T01-A10GA0W,£164.86,Asrock,-,-,Barebone,-,-
Lenovo Legion T7 34IMZ5 90Q8002SUK,"£1,699.44",Lenovo,16 GB,Intel Core i7,Tower,-,-
Dell OptiPlex 7010 i5-13500 SFF,£549.00,Dell,-,-,Compact,-,0.85 %
Dell Precision 5820 (5YYXT),"£2,026.60",Dell,32 GB,Intel Core i9,Tower,-,-
